G;Isc;FF;Voc;Rend;Rsr;Rsh;Pmpp;Vmpp;Impp;Tf
599,4;4,769;79,44;37,786;16,64;0,788;250,609;143,147;31,775;4,505;23,9
798,4;6,385;78,59;38,183;16,71;0,606;147,35;191,603;31,864;6,013;23,9
1000,3;7,978;77,77;38,503;16,67;0,521;121,194;238,891;31,803;7,512;23,8
1202,6;9,567;76,94;38,773;16,59;0,47;100,421;285,389;31,682;9,008;23,8
